Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N5ST2,-105,44482.55,2023-09-06 13:35:13.664408,2023-09-06 13:35:13.664408,-1.0
N15SMA1,105,,,,
N15SMA2,105,,,,
N15SMA3,-105,44572.0,2023-09-06 11:45:34.315102,2023-09-06 11:45:34.315102,-1.0
N15SMA4,105,,,,
N15SMA5,105,,,,
N15EMA1,105,44574.55,2023-09-06 14:30:34.639836,2023-09-06 14:30:34.639836,1.0
N15EMA3,105,44574.55,2023-09-06 14:30:35.702810,2023-09-06 14:30:35.702810,1.0
N15ST1,-105,44521.0,2023-09-06 12:45:35.890736,2023-09-06 12:45:35.890736,-1.0
N15ST2,105,,,,
N15ST4,105,,,,
N15ST5,105,,,,
N15ST6,105,,,,
N15ST7,-105,44521.0,2023-09-06 12:45:39.628670,2023-09-06 12:45:39.628670,-1.0
N30SMA1,-105,44572.0,2023-09-06 11:45:58.897231,2023-09-06 11:45:58.897231,-1.0
N30SMA2,105,,,,
N30SMA3,105,,,,
N30SMA4,105,,,,
N30SMA5,105,,,,
N30SMA6,105,,,,
N30EMA1,105,44559.95,2023-09-06 14:15:59.455133,2023-09-06 14:15:59.455133,1.0
N30EMA2,105,44559.95,2023-09-06 14:16:00.354121,2023-09-06 14:16:00.354121,1.0
N30EMA3,105,,,,
N30EMA4,105,,,,
N30EMA5,105,44554.0,2023-09-06 13:45:59.922639,2023-09-06 13:45:59.922639,1.0
N30EMA6,105,,,,
N30ST1,105,,,,
N30ST2,105,,,,
N30ST3,105,,,,
N30ST4,105,,,,
N60SMA1,-105,,,,
N60SMA2,105,44628.95,2023-09-06 15:16:22.436646,2023-09-06 15:16:22.436646,1.0
N60SMA3,105,,,,
N60SMA4,105,,,,
N60SMA5,-105,,,,
N60SMA6,105,,,,
N60EMA1,105,44628.95,2023-09-06 15:16:23.884621,2023-09-06 15:16:23.884621,1.0
N60EMA2,-105,44610.1,2023-09-06 12:16:23.297340,2023-09-06 12:16:23.297340,-1.0
N60EMA3,105,,,,
N60EMA4,105,,,,
N60EMA5,105,,,,
N60EMA6,105,,,,
N60ST1,105,,,,
N60ST2,105,,,,
N60ST3,105,,,,
N60ST4,105,,,,
N60ST5,105,,,,
NDSMA1,105,,,,
NDSMA2,105,,,,
NDSMA3,-105,,,,
NDSMA4,-105,,,,
NDSMA5,105,,,,
NDSMA6,-105,,,,
NDSMA7,-105,,,,
NDEMA1,-105,,,,
NDEMA2,-105,,,,
NDEMA3,-105,,,,
NDEMA4,105,,,,
NDEMA5,-105,,,,
NDEMA6,105,,,,
NDEMA7,-105,,,,
NDEMA8,105,,,,
NDEMA9,105,,,,
NDEMA10,105,,,,
NDST1,-105,,,,
NDST2,-105,,,,
NDST3,105,,,,
NDST4,-105,,,,
NDMACD1,105,,,,
NDMACD2,105,,,,
N60MACD1,-105,44520.5,2023-09-06 13:16:26.631961,2023-09-06 13:16:26.631961,-1.0
